date,matchup,player,team,position,is_starter,stat,stat_name,tc_projection,tc_line,edge,signal,tc_raw,tc_team_adj,tc_opp_adj,tc_home_adj
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,PAS,Passes,2.09,1.8,0.29,PASS,28.0,29.4,22.12,23.22
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.08,0.06,0.07
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,S,Shots,0.05,0.0,0.05,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,COR,Corners,0.44,0.3,0.14,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,TKL,Tackles,0.73,0.6,0.13,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,FC,Fouls Committed,0.25,0.2,0.05,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,CRD,Cards,0.07,0.0,0.07,PASS,0.25,0.26,0.2,0.21
2026-07-02,Belgium@USA,USA_DEF_1,USA,DEF,True,PAS,Passes,7.46,6.5,0.96,PASS,45.0,47.25,35.54,37.32
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.08,0.06,0.07
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,S,Shots,0.05,0.0,0.05,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,COR,Corners,0.44,0.3,0.14,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,TKL,Tackles,0.73,0.6,0.13,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,FC,Fouls Committed,0.25,0.2,0.05,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,CRD,Cards,0.07,0.0,0.07,PASS,0.25,0.26,0.2,0.21
2026-07-02,Belgium@USA,USA_DEF_2,USA,DEF,True,PAS,Passes,7.46,6.5,0.96,PASS,45.0,47.25,35.54,37.32
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.08,0.06,0.07
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,S,Shots,0.05,0.0,0.05,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,COR,Corners,0.44,0.3,0.14,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,TKL,Tackles,0.73,0.6,0.13,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,FC,Fouls Committed,0.25,0.2,0.05,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,CRD,Cards,0.07,0.0,0.07,PASS,0.25,0.26,0.2,0.21
2026-07-02,Belgium@USA,USA_DEF_3,USA,DEF,True,PAS,Passes,7.46,6.5,0.96,PASS,45.0,47.25,35.54,37.32
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.08,0.06,0.07
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,S,Shots,0.05,0.0,0.05,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,COR,Corners,0.44,0.3,0.14,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,TKL,Tackles,0.73,0.6,0.13,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,FC,Fouls Committed,0.25,0.2,0.05,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,CRD,Cards,0.07,0.0,0.07,PASS,0.25,0.26,0.2,0.21
2026-07-02,Belgium@USA,USA_DEF_4,USA,DEF,True,PAS,Passes,7.46,6.5,0.96,PASS,45.0,47.25,35.54,37.32
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,A,Assists,0.0,0.0,0.0,PASS,0.08,0.08,0.06,0.07
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,S,Shots,0.01,0.0,0.01,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,COR,Corners,0.13,0.1,0.03,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,TKL,Tackles,0.22,0.1,0.12,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,FC,Fouls Committed,0.07,0.0,0.07,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,CRD,Cards,0.02,0.0,0.02,PASS,0.25,0.26,0.2,0.21
2026-07-02,Belgium@USA,USA_DEF_5,USA,DEF,False,PAS,Passes,2.24,1.9,0.34,PASS,45.0,47.25,35.54,37.32
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,A,Assists,0.0,0.0,0.0,PASS,0.08,0.08,0.06,0.07
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,S,Shots,0.01,0.0,0.01,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,COR,Corners,0.13,0.1,0.03,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,TKL,Tackles,0.22,0.1,0.12,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,FC,Fouls Committed,0.07,0.0,0.07,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,CRD,Cards,0.02,0.0,0.02,PASS,0.25,0.26,0.2,0.21
2026-07-02,Belgium@USA,USA_DEF_6,USA,DEF,False,PAS,Passes,2.24,1.9,0.34,PASS,45.0,47.25,35.54,37.32
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,G,Goals,0.02,0.0,0.02,PASS,0.12,0.13,0.09,0.1
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,A,Assists,0.04,0.0,0.04,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,SOT,Shots on Target,0.1,0.0,0.1,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,S,Shots,0.35,0.3,0.05,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,COR,Corners,0.25,0.2,0.05,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,TKL,Tackles,0.58,0.5,0.08,PASS,2.0,2.1,1.58,1.66
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,FC,Fouls Committed,0.5,0.4,0.1,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,CRD,Cards,0.1,0.0,0.1,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_MID_1,USA,MID,True,PAS,Passes,15.09,13.2,1.89,OVER,52.0,54.6,41.07,43.12
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,G,Goals,0.02,0.0,0.02,PASS,0.12,0.13,0.09,0.1
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,A,Assists,0.04,0.0,0.04,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,SOT,Shots on Target,0.1,0.0,0.1,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,S,Shots,0.35,0.3,0.05,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,COR,Corners,0.25,0.2,0.05,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,TKL,Tackles,0.58,0.5,0.08,PASS,2.0,2.1,1.58,1.66
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,FC,Fouls Committed,0.5,0.4,0.1,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,CRD,Cards,0.1,0.0,0.1,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_MID_2,USA,MID,True,PAS,Passes,15.09,13.2,1.89,OVER,52.0,54.6,41.07,43.12
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,G,Goals,0.02,0.0,0.02,PASS,0.12,0.13,0.09,0.1
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,A,Assists,0.04,0.0,0.04,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,SOT,Shots on Target,0.1,0.0,0.1,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,S,Shots,0.35,0.3,0.05,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,COR,Corners,0.25,0.2,0.05,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,TKL,Tackles,0.58,0.5,0.08,PASS,2.0,2.1,1.58,1.66
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,FC,Fouls Committed,0.5,0.4,0.1,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,CRD,Cards,0.1,0.0,0.1,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_MID_3,USA,MID,True,PAS,Passes,15.09,13.2,1.89,OVER,52.0,54.6,41.07,43.12
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,G,Goals,0.02,0.0,0.02,PASS,0.12,0.13,0.09,0.1
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,A,Assists,0.04,0.0,0.04,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,SOT,Shots on Target,0.1,0.0,0.1,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,S,Shots,0.35,0.3,0.05,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,COR,Corners,0.25,0.2,0.05,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,TKL,Tackles,0.58,0.5,0.08,PASS,2.0,2.1,1.58,1.66
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,FC,Fouls Committed,0.5,0.4,0.1,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,CRD,Cards,0.1,0.0,0.1,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_MID_4,USA,MID,True,PAS,Passes,15.09,13.2,1.89,OVER,52.0,54.6,41.07,43.12
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,G,Goals,0.01,0.0,0.01,PASS,0.12,0.13,0.09,0.1
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,A,Assists,0.01,0.0,0.01,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,SOT,Shots on Target,0.03,0.0,0.03,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,S,Shots,0.1,0.0,0.1,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,COR,Corners,0.07,0.0,0.07,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,TKL,Tackles,0.17,0.1,0.07,PASS,2.0,2.1,1.58,1.66
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,FC,Fouls Committed,0.15,0.1,0.05,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,CRD,Cards,0.03,0.0,0.03,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_MID_5,USA,MID,False,PAS,Passes,4.53,3.9,0.63,PASS,52.0,54.6,41.07,43.12
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,G,Goals,0.01,0.0,0.01,PASS,0.12,0.13,0.09,0.1
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,A,Assists,0.01,0.0,0.01,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,SOT,Shots on Target,0.03,0.0,0.03,PASS,0.4,0.42,0.32,0.33
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,S,Shots,0.1,0.0,0.1,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,COR,Corners,0.07,0.0,0.07,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,TKL,Tackles,0.17,0.1,0.07,PASS,2.0,2.1,1.58,1.66
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,FC,Fouls Committed,0.15,0.1,0.05,PASS,1.5,1.58,1.18,1.24
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,CRD,Cards,0.03,0.0,0.03,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_MID_6,USA,MID,False,PAS,Passes,4.53,3.9,0.63,PASS,52.0,54.6,41.07,43.12
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,G,Goals,0.2,0.0,0.2,PASS,0.35,0.37,0.28,0.29
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,A,Assists,0.08,0.0,0.08,PASS,0.18,0.19,0.14,0.15
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,SOT,Shots on Target,0.6,0.5,0.1,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,S,Shots,1.04,0.9,0.14,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,COR,Corners,0.02,0.0,0.02,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,TKL,Tackles,0.13,0.1,0.03,PASS,0.8,0.84,0.63,0.66
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,FC,Fouls Committed,0.25,0.2,0.05,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,CRD,Cards,0.02,0.0,0.02,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_FWD_1,USA,FWD,True,PAS,Passes,3.48,3.0,0.48,PASS,28.0,29.4,22.12,23.22
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,G,Goals,0.2,0.0,0.2,PASS,0.35,0.37,0.28,0.29
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,A,Assists,0.08,0.0,0.08,PASS,0.18,0.19,0.14,0.15
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,SOT,Shots on Target,0.6,0.5,0.1,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,S,Shots,1.04,0.9,0.14,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,COR,Corners,0.02,0.0,0.02,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,TKL,Tackles,0.13,0.1,0.03,PASS,0.8,0.84,0.63,0.66
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,FC,Fouls Committed,0.25,0.2,0.05,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,CRD,Cards,0.02,0.0,0.02,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_FWD_2,USA,FWD,True,PAS,Passes,3.48,3.0,0.48,PASS,28.0,29.4,22.12,23.22
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,G,Goals,0.06,0.0,0.06,PASS,0.35,0.37,0.28,0.29
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,A,Assists,0.02,0.0,0.02,PASS,0.18,0.19,0.14,0.15
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,SOT,Shots on Target,0.18,0.1,0.08,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,S,Shots,0.31,0.2,0.11,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,COR,Corners,0.01,0.0,0.01,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,TKL,Tackles,0.04,0.0,0.04,PASS,0.8,0.84,0.63,0.66
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,FC,Fouls Committed,0.07,0.0,0.07,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,CRD,Cards,0.01,0.0,0.01,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_FWD_3,USA,FWD,False,PAS,Passes,1.04,0.9,0.14,PASS,28.0,29.4,22.12,23.22
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,G,Goals,0.06,0.0,0.06,PASS,0.35,0.37,0.28,0.29
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,A,Assists,0.02,0.0,0.02,PASS,0.18,0.19,0.14,0.15
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,SOT,Shots on Target,0.18,0.1,0.08,PASS,1.2,1.26,0.95,1.0
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,S,Shots,0.31,0.2,0.11,PASS,2.5,2.62,1.97,2.07
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,COR,Corners,0.01,0.0,0.01,PASS,0.3,0.32,0.24,0.25
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,TKL,Tackles,0.04,0.0,0.04,PASS,0.8,0.84,0.63,0.66
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,FC,Fouls Committed,0.07,0.0,0.07,PASS,1.0,1.05,0.79,0.83
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,CRD,Cards,0.01,0.0,0.01,PASS,0.15,0.16,0.12,0.12
2026-07-02,Belgium@USA,USA_FWD_4,USA,FWD,False,PAS,Passes,1.04,0.9,0.14,PASS,28.0,29.4,22.12,23.22
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,TKL,Tackles,0.04,0.0,0.04,PASS,0.5,0.56,0.46,0.43
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.11,0.09,0.09
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.06,0.05,0.04
2026-07-02,Belgium@USA,Belgium_GK_1,Belgium,GK,True,PAS,Passes,7.3,6.4,0.9,PASS,28.0,31.64,25.61,24.33
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,TKL,Tackles,0.01,0.0,0.01,PASS,0.5,0.56,0.46,0.43
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.11,0.09,0.09
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.06,0.05,0.04
2026-07-02,Belgium@USA,Belgium_GK_2,Belgium,GK,False,PAS,Passes,2.19,1.9,0.29,PASS,28.0,31.64,25.61,24.33
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.06,0.05,0.04
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.09,0.07,0.07
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.17,0.14,0.13
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,S,Shots,0.05,0.0,0.05,PASS,0.4,0.45,0.37,0.35
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,COR,Corners,0.46,0.4,0.06,PASS,1.5,1.69,1.37,1.3
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,TKL,Tackles,0.76,0.6,0.16,PASS,2.5,2.82,2.29,2.17
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,FC,Fouls Committed,0.26,0.2,0.06,PASS,1.2,1.36,1.1,1.04
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,CRD,Cards,0.08,0.0,0.08,PASS,0.25,0.28,0.23,0.22
2026-07-02,Belgium@USA,Belgium_DEF_1,Belgium,DEF,True,PAS,Passes,7.82,6.8,1.02,OVER,45.0,50.85,41.16,39.11
2026-07-02,Belgium@USA,Belgium_DEF_2,Belgium,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.06,0.05,0.04
