player,team,sport,projection,edge,market,dk_line,direction,reason,date,league,matchup,game_time,role,status,stat,period,market_type,market_family,line_source,catalog_supported,line_status,alert_eligible,truth_note,market_line,tc_projection,tc_target,threshold,signal,why,raw_average,source,actual,result
Breanna Stewart,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.9282,1,1.02,0.5,PROJECTION ONLY,Breanna Stewart projected 1.0 blocks (full game) vs. line of 0.9 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Jonquel Jones,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,12.0393,12.6,13.23,0.5,PROJECTION ONLY,Jonquel Jones projected 12.6 points (full game) vs. line of 12.0 — 7% edge to the OVER,1.5,SELF_EDGE,,PENDING
Jonquel Jones,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,7.310940000000001,7.8,8.03,0.5,PROJECTION ONLY,Jonquel Jones projected 7.8 rebounds (full game) vs. line of 7.3 — 7% edge to the OVER,0.9,SELF_EDGE,,PENDING
Jonquel Jones,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.0620600000000007,2.2,2.27,0.5,PROJECTION ONLY,Jonquel Jones projected 2.2 assists (full game) vs. line of 2.1 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Jonquel Jones,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.4268800000000001,1.6,1.57,0.5,PROJECTION ONLY,Jonquel Jones projected 1.6 three-pointers (full game) vs. line of 1.4 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Jonquel Jones,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.55692,0.6,0.61,0.5,PROJECTION ONLY,Jonquel Jones projected 0.6 steals (full game) vs. line of 0.6 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Jonquel Jones,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.83538,0.9,0.92,0.5,PROJECTION ONLY,Jonquel Jones projected 0.9 blocks (full game) vs. line of 0.8 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Marine Johannes,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,9.459450000000002,9.9,10.4,0.5,PROJECTION ONLY,Marine Johannes projected 9.9 points (full game) vs. line of 9.5 — 7% edge to the OVER,1.2,SELF_EDGE,,PENDING
Marine Johannes,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.62444,2.8,2.88,0.5,PROJECTION ONLY,Marine Johannes projected 2.8 rebounds (full game) vs. line of 2.6 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Marine Johannes,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.8119,3,3.09,0.5,PROJECTION ONLY,Marine Johannes projected 3.0 assists (full game) vs. line of 2.8 — 7% edge to the OVER,0.4,SELF_EDGE,,PENDING
Marine Johannes,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.14032,2.4,2.35,0.5,PROJECTION ONLY,Marine Johannes projected 2.4 three-pointers (full game) vs. line of 2.1 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Marine Johannes,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.9282,1,1.02,0.5,PROJECTION ONLY,Marine Johannes projected 1.0 steals (full game) vs. line of 0.9 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Marine Johannes,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.18564000000000003,0.2,0.2,0.5,PROJECTION ONLY,Marine Johannes projected 0.2 blocks (full game) vs. line of 0.2 — 7% edge to the OVER,-0.3,SELF_EDGE,,PENDING
Pauline Astier,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,9.65055,10.1,10.61,0.5,PROJECTION ONLY,Pauline Astier projected 10.1 points (full game) vs. line of 9.7 — 7% edge to the OVER,1.2,SELF_EDGE,,PENDING
Pauline Astier,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.71817,2.9,2.99,0.5,PROJECTION ONLY,Pauline Astier projected 2.9 rebounds (full game) vs. line of 2.7 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Pauline Astier,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,3.4680100000000005,3.7,3.81,0.5,PROJECTION ONLY,Pauline Astier projected 3.7 assists (full game) vs. line of 3.5 — 7% edge to the OVER,0.4,SELF_EDGE,,PENDING
Pauline Astier,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.4459,0.5,0.49,0.5,PROJECTION ONLY,Pauline Astier projected 0.5 three-pointers (full game) vs. line of 0.4 — 7% edge to the OVER,0,SELF_EDGE,,PENDING
Pauline Astier,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.83538,0.9,0.92,0.5,PROJECTION ONLY,Pauline Astier projected 0.9 steals (full game) vs. line of 0.8 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Pauline Astier,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.18564000000000003,0.2,0.2,0.5,PROJECTION ONLY,Pauline Astier projected 0.2 blocks (full game) vs. line of 0.2 — 7% edge to the OVER,-0.3,SELF_EDGE,,PENDING
Han Xu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,10.319400000000002,10.8,11.34,0.5,PROJECTION ONLY,Han Xu projected 10.8 points (full game) vs. line of 10.3 — 7% edge to the OVER,1.3,SELF_EDGE,,PENDING
Han Xu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,3.7492,4,4.12,0.5,PROJECTION ONLY,Han Xu projected 4.0 rebounds (full game) vs. line of 3.7 — 7% edge to the OVER,0.5,SELF_EDGE,,PENDING
Han Xu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.4996800000000001,1.6,1.65,0.5,PROJECTION ONLY,Han Xu projected 1.6 assists (full game) vs. line of 1.5 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Han Xu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.2485199999999999,1.4,1.37,0.5,PROJECTION ONLY,Han Xu projected 1.4 three-pointers (full game) vs. line of 1.2 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Han Xu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.55692,0.6,0.61,0.5,PROJECTION ONLY,Han Xu projected 0.6 steals (full game) vs. line of 0.6 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Han Xu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.11384,1.2,1.22,0.5,PROJECTION ONLY,Han Xu projected 1.2 blocks (full game) vs. line of 1.1 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Rebekah Gardner,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,7.739550000000001,8.1,8.51,0.5,PROJECTION ONLY,Rebekah Gardner projected 8.1 points (full game) vs. line of 7.7 — 7% edge to the OVER,1,SELF_EDGE,,PENDING
Rebekah Gardner,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,3.18682,3.4,3.5,0.5,PROJECTION ONLY,Rebekah Gardner projected 3.4 rebounds (full game) vs. line of 3.2 — 7% edge to the OVER,0.4,SELF_EDGE,,PENDING
Rebekah Gardner,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.9683300000000004,2.1,2.16,0.5,PROJECTION ONLY,Rebekah Gardner projected 2.1 assists (full game) vs. line of 2.0 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Rebekah Gardner,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.35672000000000004,0.4,0.39,0.5,PROJECTION ONLY,Rebekah Gardner projected 0.4 three-pointers (full game) vs. line of 0.4 — 7% edge to the OVER,-0.1,SELF_EDGE,,PENDING
Rebekah Gardner,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.7425600000000001,0.8,0.82,0.5,PROJECTION ONLY,Rebekah Gardner projected 0.8 steals (full game) vs. line of 0.7 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Rebekah Gardner,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.27846,0.3,0.31,0.5,PROJECTION ONLY,Rebekah Gardner projected 0.3 blocks (full game) vs. line of 0.3 — 7% edge to the OVER,-0.2,SELF_EDGE,,PENDING
Betnijah Laney-Hamilton,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,6.6885,7,7.35,0.5,PROJECTION ONLY,Betnijah Laney-Hamilton projected 7.0 points (full game) vs. line of 6.7 — 7% edge to the OVER,0.8,SELF_EDGE,,PENDING
Betnijah Laney-Hamilton,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.62444,2.8,2.88,0.5,PROJECTION ONLY,Betnijah Laney-Hamilton projected 2.8 rebounds (full game) vs. line of 2.6 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Betnijah Laney-Hamilton,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.1557899999999997,2.3,2.37,0.5,PROJECTION ONLY,Betnijah Laney-Hamilton projected 2.3 assists (full game) vs. line of 2.2 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Betnijah Laney-Hamilton,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.7134400000000001,0.8,0.78,0.5,PROJECTION ONLY,Betnijah Laney-Hamilton projected 0.8 three-pointers (full game) vs. line of 0.7 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Betnijah Laney-Hamilton,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.37128000000000005,0.4,0.41,0.5,PROJECTION ONLY,Betnijah Laney-Hamilton projected 0.4 steals (full game) vs. line of 0.4 — 7% edge to the OVER,-0.1,SELF_EDGE,,PENDING
Betnijah Laney-Hamilton,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.27846,0.3,0.31,0.5,PROJECTION ONLY,Betnijah Laney-Hamilton projected 0.3 blocks (full game) vs. line of 0.3 — 7% edge to the OVER,-0.2,SELF_EDGE,,PENDING
Sabrina Ionescu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,10.701600000000001,11.2,11.76,0.5,PROJECTION ONLY,Sabrina Ionescu projected 11.2 points (full game) vs. line of 10.7 — 7% edge to the OVER,1.3,SELF_EDGE,,PENDING
Sabrina Ionescu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,3.09309,3.3,3.4,0.5,PROJECTION ONLY,Sabrina Ionescu projected 3.3 rebounds (full game) vs. line of 3.1 — 7% edge to the OVER,0.4,SELF_EDGE,,PENDING
Sabrina Ionescu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,3.37428,3.6,3.71,0.5,PROJECTION ONLY,Sabrina Ionescu projected 3.6 assists (full game) vs. line of 3.4 — 7% edge to the OVER,0.4,SELF_EDGE,,PENDING
Sabrina Ionescu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.3377000000000001,1.5,1.47,0.5,PROJECTION ONLY,Sabrina Ionescu projected 1.5 three-pointers (full game) vs. line of 1.3 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Sabrina Ionescu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.55692,0.6,0.61,0.5,PROJECTION ONLY,Sabrina Ionescu projected 0.6 steals (full game) vs. line of 0.6 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Sabrina Ionescu,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.18564000000000003,0.2,0.2,0.5,PROJECTION ONLY,Sabrina Ionescu projected 0.2 blocks (full game) vs. line of 0.2 — 7% edge to the OVER,-0.3,SELF_EDGE,,PENDING
Leonie Fiebich,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,8.2173,8.6,9.03,0.5,PROJECTION ONLY,Leonie Fiebich projected 8.6 points (full game) vs. line of 8.2 — 7% edge to the OVER,1,SELF_EDGE,,PENDING
Leonie Fiebich,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.0620600000000007,2.2,2.27,0.5,PROJECTION ONLY,Leonie Fiebich projected 2.2 rebounds (full game) vs. line of 2.1 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Leonie Fiebich,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.4996800000000001,1.6,1.65,0.5,PROJECTION ONLY,Leonie Fiebich projected 1.6 assists (full game) vs. line of 1.5 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Leonie Fiebich,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.4268800000000001,1.6,1.57,0.5,PROJECTION ONLY,Leonie Fiebich projected 1.6 three-pointers (full game) vs. line of 1.4 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Leonie Fiebich,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.9282,1,1.02,0.5,PROJECTION ONLY,Leonie Fiebich projected 1.0 steals (full game) vs. line of 0.9 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Satou Sabally,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,14.810250000000002,15.5,16.28,0.5,PROJECTION ONLY,Satou Sabally projected 15.5 points (full game) vs. line of 14.8 — 7% edge to the OVER,1.9,SELF_EDGE,,PENDING
