League,Matchup,Player,Team,Stat,Direction,TC_Proj,Market_Line,Edge,Reason
mlb,MIA@MIL,Shohei Ohtani,MIA,H,OVER,1.0,0.86,0.14,Targeting Shohei Ohtani OVER 0.9 H. Model projects 1.0 (0.14 edge). Recent trends and opponent weakness support this play.
mlb,TB@BOS,Juan Soto,TB,H,OVER,1.04,0.9,0.14,Targeting Juan Soto OVER 0.9 H. Model projects 1.0 (0.14 edge). Recent trends and opponent weakness support this play.
mlb,CHW@TOR,Ronald Acuna,CHW,H,OVER,1.07,0.94,0.13000000000000012,"Marginal +EV opportunity: Ronald Acuna is projected for 1.1 H vs a line of 0.9, giving a OVER edge of 0.13. Based on recent form, opponent matchup, and game context."
mlb,CHW@TOR,Corey Seager,TOR,H,OVER,0.98,0.85,0.13,Targeting Corey Seager OVER 0.8 H. Model projects 1.0 (0.13 edge). Recent trends and opponent weakness support this play.
mlb,BAL@HOU,Jose Ramirez,BAL,K,OVER,0.8,0.7,0.10000000000000009,Jose Ramirez shows OVER value at 0.7 K. TC projection: 0.8 — edge: 0.10. Marginal conviction based on usage rate and defensive matchup.
mlb,BAL@HOU,Bryce Harper,HOU,K,OVER,0.8,0.7,0.10000000000000009,Targeting Bryce Harper OVER 0.7 K. Model projects 0.8 (0.10 edge). Recent trends and opponent weakness support this play.
mlb,CHW@TOR,Vladimir Guerrero,TOR,K,OVER,0.8,0.7,0.10000000000000009,Vladimir Guerrero shows OVER value at 0.7 K. TC projection: 0.8 — edge: 0.10. Marginal conviction based on usage rate and defensive matchup.
mlb,DET@LAA,Shohei Ohtani,DET,K,OVER,0.8,0.7,0.10000000000000009,Targeting Shohei Ohtani OVER 0.7 K. Model projects 0.8 (0.10 edge). Recent trends and opponent weakness support this play.
mlb,MIN@CHC,Corey Seager,MIN,K,OVER,0.8,0.7,0.10000000000000009,Corey Seager shows OVER value at 0.7 K. TC projection: 0.8 — edge: 0.10. Marginal conviction based on usage rate and defensive matchup.
mlb,SD@KC,Yordan Alvarez,KC,K,OVER,0.8,0.7,0.10000000000000009,Targeting Yordan Alvarez OVER 0.7 K. Model projects 0.8 (0.10 edge). Recent trends and opponent weakness support this play.
mlb,BAL@HOU,Aaron Judge,BAL,K,OVER,0.7,0.6,0.09999999999999998,Aaron Judge shows OVER value at 0.6 K. TC projection: 0.7 — edge: 0.10. Marginal conviction based on usage rate and defensive matchup.
mlb,DET@LAA,Freddie Freeman,LAA,K,OVER,0.9,0.8,0.09999999999999998,Targeting Freddie Freeman OVER 0.8 K. Model projects 0.9 (0.10 edge). Recent trends and opponent weakness support this play.
mlb,LAD@NYY,Yordan Alvarez,LAD,RBI,OVER,0.61,0.52,0.08999999999999997,Yordan Alvarez shows OVER value at 0.5 RBI. TC projection: 0.6 — edge: 0.09. Marginal conviction based on usage rate and defensive matchup.
mlb,PIT@CLE,Ronald Acuna,PIT,R,OVER,0.65,0.56,0.08999999999999997,Ronald Acuna shows OVER value at 0.6 R. TC projection: 0.7 — edge: 0.09. Marginal conviction based on usage rate and defensive matchup.
mlb,STL@ARI,Mookie Betts,STL,RBI,OVER,0.53,0.45,0.08000000000000002,Targeting Mookie Betts OVER 0.5 RBI. Model projects 0.5 (0.08 edge). Recent trends and opponent weakness support this play.
mlb,STL@ARI,Corey Seager,STL,RBI,OVER,0.54,0.46,0.08000000000000002,Targeting Corey Seager OVER 0.5 RBI. Model projects 0.5 (0.08 edge). Recent trends and opponent weakness support this play.
mlb,PIT@CLE,Freddie Freeman,CLE,RBI,OVER,0.6,0.52,0.07999999999999996,"Marginal +EV opportunity: Freddie Freeman is projected for 0.6 RBI vs a line of 0.5, giving a OVER edge of 0.08. Based on recent form, opponent matchup, and game context."
mlb,SD@KC,Vladimir Guerrero,KC,RBI,OVER,0.61,0.53,0.07999999999999996,Vladimir Guerrero shows OVER value at 0.5 RBI. TC projection: 0.6 — edge: 0.08. Marginal conviction based on usage rate and defensive matchup.
mlb,SF@SEA,Shohei Ohtani,SF,RBI,OVER,0.63,0.55,0.07999999999999996,"Marginal +EV opportunity: Shohei Ohtani is projected for 0.6 RBI vs a line of 0.6, giving a OVER edge of 0.08. Based on recent form, opponent matchup, and game context."
mlb,TEX@ATL,Juan Soto,ATL,RBI,OVER,0.6,0.52,0.07999999999999996,"Marginal +EV opportunity: Juan Soto is projected for 0.6 RBI vs a line of 0.5, giving a OVER edge of 0.08. Based on recent form, opponent matchup, and game context."
mlb,CHW@TOR,Jose Ramirez,CHW,RBI,OVER,0.56,0.49,0.07000000000000006,"Marginal +EV opportunity: Jose Ramirez is projected for 0.6 RBI vs a line of 0.5, giving a OVER edge of 0.07. Based on recent form, opponent matchup, and game context."
mlb,MIN@CHC,Shohei Ohtani,CHC,R,OVER,0.55,0.48,0.07000000000000006,Targeting Shohei Ohtani OVER 0.5 R. Model projects 0.6 (0.07 edge). Recent trends and opponent weakness support this play.
mlb,CHW@TOR,Corey Seager,TOR,BB,OVER,0.44,0.37,0.07,Targeting Corey Seager OVER 0.4 BB. Model projects 0.4 (0.07 edge). Recent trends and opponent weakness support this play.
mlb,LAD@NYY,Bryce Harper,LAD,R,OVER,0.45,0.38,0.07,"Marginal +EV opportunity: Bryce Harper is projected for 0.5 R vs a line of 0.4, giving a OVER edge of 0.07. Based on recent form, opponent matchup, and game context."
mlb,STL@ARI,Mike Trout,STL,R,OVER,0.61,0.54,0.06999999999999995,Targeting Mike Trout OVER 0.5 R. Model projects 0.6 (0.07 edge). Recent trends and opponent weakness support this play.
mlb,STL@ARI,Jose Ramirez,STL,R,OVER,0.66,0.6,0.06000000000000005,Jose Ramirez shows OVER value at 0.6 R. TC projection: 0.7 — edge: 0.06. Marginal conviction based on usage rate and defensive matchup.
mlb,CHW@TOR,Mookie Betts,CHW,BB,OVER,0.45,0.39,0.06,Targeting Mookie Betts OVER 0.4 BB. Model projects 0.5 (0.06 edge). Recent trends and opponent weakness support this play.
mlb,DET@LAA,Mike Trout,LAA,BB,OVER,0.45,0.39,0.06,Targeting Mike Trout OVER 0.4 BB. Model projects 0.5 (0.06 edge). Recent trends and opponent weakness support this play.
mlb,TB@BOS,Yordan Alvarez,BOS,BB,OVER,0.45,0.39,0.06,"Marginal +EV opportunity: Yordan Alvarez is projected for 0.5 BB vs a line of 0.4, giving a OVER edge of 0.06. Based on recent form, opponent matchup, and game context."
mlb,TEX@ATL,Aaron Judge,TEX,BB,OVER,0.41,0.35,0.06,Targeting Aaron Judge OVER 0.3 BB. Model projects 0.4 (0.06 edge). Recent trends and opponent weakness support this play.
mlb,BAL@HOU,Ronald Acuna,BAL,RBI,OVER,0.6,0.54,0.05999999999999994,Ronald Acuna shows OVER value at 0.5 RBI. TC projection: 0.6 — edge: 0.06. Marginal conviction based on usage rate and defensive matchup.
mlb,MIA@MIL,Vladimir Guerrero,MIA,BB,OVER,0.4,0.35,0.050000000000000044,"Marginal +EV opportunity: Vladimir Guerrero is projected for 0.4 BB vs a line of 0.3, giving a OVER edge of 0.05. Based on recent form, opponent matchup, and game context."
mlb,LAD@NYY,Shohei Ohtani,LAD,BB,OVER,0.38,0.33,0.04999999999999999,Targeting Shohei Ohtani OVER 0.3 BB. Model projects 0.4 (0.05 edge). Recent trends and opponent weakness support this play.
mlb,SF@SEA,Corey Seager,SF,AVG,OVER,0.293,0.251,0.04199999999999998,Targeting Corey Seager OVER 0.3 AVG. Model projects 0.3 (0.04 edge). Recent trends and opponent weakness support this play.
mlb,MIA@MIL,Freddie Freeman,MIA,AVG,OVER,0.291,0.25,0.04099999999999998,Targeting Freddie Freeman OVER 0.2 AVG. Model projects 0.3 (0.04 edge). Recent trends and opponent weakness support this play.
mlb,SD@KC,Ronald Acuna,SD,AVG,OVER,0.293,0.253,0.03999999999999998,Ronald Acuna shows OVER value at 0.3 AVG. TC projection: 0.3 — edge: 0.04. Marginal conviction based on usage rate and defensive matchup.
mlb,CIN@COL,Aaron Judge,COL,AVG,OVER,0.265,0.226,0.03900000000000001,"Marginal +EV opportunity: Aaron Judge is projected for 0.3 AVG vs a line of 0.2, giving a OVER edge of 0.04. Based on recent form, opponent matchup, and game context."
mlb,MIN@CHC,Shohei Ohtani,CHC,AVG,OVER,0.261,0.222,0.03900000000000001,"Marginal +EV opportunity: Shohei Ohtani is projected for 0.3 AVG vs a line of 0.2, giving a OVER edge of 0.04. Based on recent form, opponent matchup, and game context."
mlb,SF@SEA,Juan Soto,SEA,AVG,OVER,0.285,0.248,0.03699999999999998,Juan Soto shows OVER value at 0.2 AVG. TC projection: 0.3 — edge: 0.04. Marginal conviction based on usage rate and defensive matchup.
mlb,DET@LAA,Vladimir Guerrero,DET,AVG,OVER,0.25,0.214,0.036000000000000004,Targeting Vladimir Guerrero OVER 0.2 AVG. Model projects 0.2 (0.04 edge). Recent trends and opponent weakness support this play.
mlb,LAD@NYY,Mike Trout,NYY,AVG,OVER,0.257,0.221,0.036000000000000004,Targeting Mike Trout OVER 0.2 AVG. Model projects 0.3 (0.04 edge). Recent trends and opponent weakness support this play.
mlb,CHW@TOR,Jose Ramirez,CHW,AVG,OVER,0.283,0.248,0.034999999999999976,"Marginal +EV opportunity: Jose Ramirez is projected for 0.3 AVG vs a line of 0.2, giving a OVER edge of 0.03. Based on recent form, opponent matchup, and game context."
mlb,SF@SEA,Mookie Betts,SF,AVG,OVER,0.225,0.192,0.033,Mookie Betts shows OVER value at 0.2 AVG. TC projection: 0.2 — edge: 0.03. Marginal conviction based on usage rate and defensive matchup.
mlb,CIN@COL,Aaron Judge,COL,SB,OVER,0.14,0.12,0.020000000000000018,Targeting Aaron Judge OVER 0.1 SB. Model projects 0.1 (0.02 edge). Recent trends and opponent weakness support this play.
mlb,DET@LAA,Shohei Ohtani,DET,SB,OVER,0.14,0.12,0.020000000000000018,"Marginal +EV opportunity: Shohei Ohtani is projected for 0.1 SB vs a line of 0.1, giving a OVER edge of 0.02. Based on recent form, opponent matchup, and game context."
mlb,LAD@NYY,Shohei Ohtani,LAD,HR,OVER,0.14,0.12,0.020000000000000018,"Marginal +EV opportunity: Shohei Ohtani is projected for 0.1 HR vs a line of 0.1, giving a OVER edge of 0.02. Based on recent form, opponent matchup, and game context."
mlb,SF@SEA,Corey Seager,SF,HR,OVER,0.14,0.12,0.020000000000000018,Targeting Corey Seager OVER 0.1 HR. Model projects 0.1 (0.02 edge). Recent trends and opponent weakness support this play.
mlb,TB@BOS,Bryce Harper,TB,HR,OVER,0.14,0.12,0.020000000000000018,"Marginal +EV opportunity: Bryce Harper is projected for 0.1 HR vs a line of 0.1, giving a OVER edge of 0.02. Based on recent form, opponent matchup, and game context."
mlb,BAL@HOU,Ronald Acuna,BAL,SB,OVER,0.11,0.09,0.020000000000000004,"Marginal +EV opportunity: Ronald Acuna is projected for 0.1 SB vs a line of 0.1, giving a OVER edge of 0.02. Based on recent form, opponent matchup, and game context."
mlb,MIA@MIL,Jose Ramirez,MIL,HR,OVER,0.13,0.11,0.020000000000000004,Targeting Jose Ramirez OVER 0.1 HR. Model projects 0.1 (0.02 edge). Recent trends and opponent weakness support this play.
mlb,PIT@CLE,Freddie Freeman,CLE,HR,OVER,0.13,0.11,0.020000000000000004,Targeting Freddie Freeman OVER 0.1 HR. Model projects 0.1 (0.02 edge). Recent trends and opponent weakness support this play.
mlb,SD@KC,Yordan Alvarez,KC,HR,OVER,0.13,0.11,0.020000000000000004,Targeting Yordan Alvarez OVER 0.1 HR. Model projects 0.1 (0.02 edge). Recent trends and opponent weakness support this play.
mlb,SF@SEA,Mookie Betts,SF,HR,OVER,0.11,0.09,0.020000000000000004,Mookie Betts shows OVER value at 0.1 HR. TC projection: 0.1 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
mlb,WSH@ATH,Mike Trout,WSH,SB,OVER,0.11,0.09,0.020000000000000004,"Marginal +EV opportunity: Mike Trout is projected for 0.1 SB vs a line of 0.1, giving a OVER edge of 0.02. Based on recent form, opponent matchup, and game context."
mlb,WSH@ATH,Yordan Alvarez,WSH,SB,OVER,0.13,0.11,0.020000000000000004,Yordan Alvarez shows OVER value at 0.1 SB. TC projection: 0.1 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
mlb,BAL@HOU,Corey Seager,BAL,SB,OVER,0.13,0.12,0.010000000000000009,Corey Seager shows OVER value at 0.1 SB. TC projection: 0.1 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
mlb,CIN@COL,Juan Soto,CIN,HR,OVER,0.13,0.12,0.010000000000000009,Juan Soto shows OVER value at 0.1 HR. TC projection: 0.1 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
mlb,CIN@COL,Juan Soto,CIN,SB,UNDER,0.11,0.12,-0.009999999999999995,Juan Soto shows UNDER value at 0.1 SB. TC projection: 0.1 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
mlb,DET@LAA,Mike Trout,LAA,HR,UNDER,0.13,0.15,-0.01999999999999999,Targeting Mike Trout UNDER 0.1 HR. Model projects 0.1 (0.02 edge). Recent trends and opponent weakness support this play.
mlb,MIN@CHC,Vladimir Guerrero,MIN,HR,UNDER,0.13,0.15,-0.01999999999999999,Vladimir Guerrero shows UNDER value at 0.1 HR. TC projection: 0.1 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
mlb,TB@BOS,Bryce Harper,TB,SB,UNDER,0.14,0.16,-0.01999999999999999,Bryce Harper shows UNDER value at 0.2 SB. TC projection: 0.1 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
mlb,CIN@COL,Ronald Acuna,CIN,HR,UNDER,0.12,0.14,-0.020000000000000018,"Marginal +EV opportunity: Ronald Acuna is projected for 0.1 HR vs a line of 0.1, giving a UNDER edge of 0.02. Based on recent form, opponent matchup, and game context."
mlb,DET@LAA,Jose Ramirez,DET,SB,UNDER,0.12,0.14,-0.020000000000000018,"Marginal +EV opportunity: Jose Ramirez is projected for 0.1 SB vs a line of 0.1, giving a UNDER edge of 0.02. Based on recent form, opponent matchup, and game context."
mlb,DET@LAA,Vladimir Guerrero,DET,SB,UNDER,0.12,0.14,-0.020000000000000018,Vladimir Guerrero shows UNDER value at 0.1 SB. TC projection: 0.1 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
mlb,MIA@MIL,Aaron Judge,MIA,HR,UNDER,0.12,0.14,-0.020000000000000018,"Marginal +EV opportunity: Aaron Judge is projected for 0.1 HR vs a line of 0.1, giving a UNDER edge of 0.02. Based on recent form, opponent matchup, and game context."
mlb,MIN@CHC,Mookie Betts,CHC,SB,UNDER,0.12,0.14,-0.020000000000000018,Mookie Betts shows UNDER value at 0.1 SB. TC projection: 0.1 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
mlb,PIT@CLE,Freddie Freeman,CLE,SB,UNDER,0.12,0.14,-0.020000000000000018,Freddie Freeman shows UNDER value at 0.1 SB. TC projection: 0.1 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
mlb,TB@BOS,Yordan Alvarez,BOS,AVG,UNDER,0.272,0.3,-0.02799999999999997,Yordan Alvarez shows UNDER value at 0.3 AVG. TC projection: 0.3 — edge: 0.03. Marginal conviction based on usage rate and defensive matchup.
mlb,BAL@HOU,Bryce Harper,HOU,AVG,UNDER,0.294,0.328,-0.03400000000000003,Bryce Harper shows UNDER value at 0.3 AVG. TC projection: 0.3 — edge: 0.03. Marginal conviction based on usage rate and defensive matchup.
mlb,DET@LAA,Freddie Freeman,LAA,BB,UNDER,0.47,0.51,-0.040000000000000036,"Marginal +EV opportunity: Freddie Freeman is projected for 0.5 BB vs a line of 0.5, giving a UNDER edge of 0.04. Based on recent form, opponent matchup, and game context."
mlb,MIA@MIL,Jose Ramirez,MIL,BB,UNDER,0.4,0.45,-0.04999999999999999,Jose Ramirez shows UNDER value at 0.5 BB. TC projection: 0.4 — edge: 0.05. Marginal conviction based on usage rate and defensive matchup.
mlb,SF@SEA,Juan Soto,SEA,BB,UNDER,0.34,0.39,-0.04999999999999999,Juan Soto shows UNDER value at 0.4 BB. TC projection: 0.3 — edge: 0.05. Marginal conviction based on usage rate and defensive matchup.
mlb,CIN@COL,Bryce Harper,COL,BB,UNDER,0.35,0.4,-0.050000000000000044,Bryce Harper shows UNDER value at 0.4 BB. TC projection: 0.3 — edge: 0.05. Marginal conviction based on usage rate and defensive matchup.
mlb,MIN@CHC,Juan Soto,MIN,R,UNDER,0.58,0.63,-0.050000000000000044,"Marginal +EV opportunity: Juan Soto is projected for 0.6 R vs a line of 0.6, giving a UNDER edge of 0.05. Based on recent form, opponent matchup, and game context."
mlb,SD@KC,Ronald Acuna,SD,BB,UNDER,0.42,0.48,-0.06,"Marginal +EV opportunity: Ronald Acuna is projected for 0.4 BB vs a line of 0.5, giving a UNDER edge of 0.06. Based on recent form, opponent matchup, and game context."
mlb,SD@KC,Yordan Alvarez,KC,R,UNDER,0.49,0.55,-0.06000000000000005,"Marginal +EV opportunity: Yordan Alvarez is projected for 0.5 R vs a line of 0.6, giving a UNDER edge of 0.06. Based on recent form, opponent matchup, and game context."
mlb,LAD@NYY,Mike Trout,NYY,RBI,UNDER,0.58,0.65,-0.07000000000000006,Targeting Mike Trout UNDER 0.7 RBI. Model projects 0.6 (0.07 edge). Recent trends and opponent weakness support this play.
mlb,CIN@COL,Aaron Judge,COL,R,UNDER,0.57,0.65,-0.08000000000000007,"Marginal +EV opportunity: Aaron Judge is projected for 0.6 R vs a line of 0.7, giving a UNDER edge of 0.08. Based on recent form, opponent matchup, and game context."
mlb,DET@LAA,Bryce Harper,DET,RBI,UNDER,0.59,0.67,-0.08000000000000007,Targeting Bryce Harper UNDER 0.7 RBI. Model projects 0.6 (0.08 edge). Recent trends and opponent weakness support this play.
mlb,WSH@ATH,Vladimir Guerrero,ATH,R,UNDER,0.57,0.65,-0.08000000000000007,Vladimir Guerrero shows UNDER value at 0.7 R. TC projection: 0.6 — edge: 0.08. Marginal conviction based on usage rate and defensive matchup.
mlb,CIN@COL,Aaron Judge,COL,RBI,UNDER,0.66,0.75,-0.08999999999999997,Aaron Judge shows UNDER value at 0.8 RBI. TC projection: 0.7 — edge: 0.09. Marginal conviction based on usage rate and defensive matchup.
mlb,SF@SEA,Freddie Freeman,SF,R,UNDER,0.63,0.72,-0.08999999999999997,Targeting Freddie Freeman UNDER 0.7 R. Model projects 0.6 (0.09 edge). Recent trends and opponent weakness support this play.
mlb,STL@ARI,Corey Seager,STL,R,UNDER,0.63,0.72,-0.08999999999999997,Targeting Corey Seager UNDER 0.7 R. Model projects 0.6 (0.09 edge). Recent trends and opponent weakness support this play.
mlb,TEX@ATL,Mookie Betts,TEX,R,UNDER,0.58,0.67,-0.09000000000000008,Targeting Mookie Betts UNDER 0.7 R. Model projects 0.6 (0.09 edge). Recent trends and opponent weakness support this play.
mlb,BAL@HOU,Ronald Acuna,BAL,K,UNDER,0.7,0.8,-0.10000000000000009,Targeting Ronald Acuna UNDER 0.8 K. Model projects 0.7 (0.10 edge). Recent trends and opponent weakness support this play.
mlb,DET@LAA,Mike Trout,LAA,K,UNDER,0.7,0.8,-0.10000000000000009,Mike Trout shows UNDER value at 0.8 K. TC projection: 0.7 — edge: 0.10. Marginal conviction based on usage rate and defensive matchup.
mlb,MIA@MIL,Mookie Betts,MIL,K,UNDER,1.0,1.1,-0.10000000000000009,Targeting Mookie Betts UNDER 1.1 K. Model projects 1.0 (0.10 edge). Recent trends and opponent weakness support this play.
mlb,MIN@CHC,Juan Soto,MIN,K,UNDER,1.0,1.1,-0.10000000000000009,Targeting Juan Soto UNDER 1.1 K. Model projects 1.0 (0.10 edge). Recent trends and opponent weakness support this play.
mlb,LAD@NYY,Bryce Harper,LAD,H,UNDER,1.03,1.16,-0.1299999999999999,"Marginal +EV opportunity: Bryce Harper is projected for 1.0 H vs a line of 1.2, giving a UNDER edge of 0.13. Based on recent form, opponent matchup, and game context."
mlb,DET@LAA,Vladimir Guerrero,DET,H,UNDER,1.01,1.16,-0.1499999999999999,Vladimir Guerrero shows UNDER value at 1.2 H. TC projection: 1.0 — edge: 0.15. Marginal conviction based on usage rate and defensive matchup.
mlb,CHW@TOR,Mookie Betts,CHW,H,UNDER,1.11,1.27,-0.15999999999999992,Targeting Mookie Betts UNDER 1.3 H. Model projects 1.1 (0.16 edge). Recent trends and opponent weakness support this play.
mlb,PIT@CLE,Mike Trout,PIT,H,UNDER,1.17,1.34,-0.17000000000000015,Mike Trout shows UNDER value at 1.3 H. TC projection: 1.2 — edge: 0.17. Marginal conviction based on usage rate and defensive matchup.
mlb,SD@KC,Freddie Freeman,SD,TB,UNDER,1.72,1.96,-0.24,"Marginal +EV opportunity: Freddie Freeman is projected for 1.7 TB vs a line of 2.0, giving a UNDER edge of 0.24. Based on recent form, opponent matchup, and game context."
mlb,MIN@CHC,Juan Soto,MIN,TB,UNDER,1.69,1.94,-0.25,Targeting Juan Soto UNDER 1.9 TB. Model projects 1.7 (0.25 edge). Recent trends and opponent weakness support this play.
mlb,MIN@CHC,Vladimir Guerrero,MIN,TB,UNDER,1.88,2.16,-0.28000000000000025,"Marginal +EV opportunity: Vladimir Guerrero is projected for 1.9 TB vs a line of 2.2, giving a UNDER edge of 0.28. Based on recent form, opponent matchup, and game context."
wc,ENG@FRA,Harry Kane,FRA,passes,OVER,44.0,40.0,4.0,Targeting Harry Kane OVER 40.0 PASSES. Model projects 44.0 (4.00 edge). Recent trends and opponent weakness support this play.
wc,ENG@FRA,Cristiano Ronaldo,ENG,passes,OVER,31.0,28.0,3.0,"Strong +EV opportunity: Cristiano Ronaldo is projected for 31.0 PASSES vs a line of 28.0, giving a OVER edge of 3.00. Based on recent form, opponent matchup, and game context."
wc,ENG@FRA,Pedri,ENG,passes,OVER,38.0,35.0,3.0,Pedri shows OVER value at 35.0 PASSES. TC projection: 38.0 — edge: 3.00. Strong conviction based on usage rate and defensive matchup.
wc,ENG@FRA,Vinicius Jr,FRA,passes,OVER,36.0,33.0,3.0,"Strong +EV opportunity: Vinicius Jr is projected for 36.0 PASSES vs a line of 33.0, giving a OVER edge of 3.00. Based on recent form, opponent matchup, and game context."
wc,ENG@FRA,Kevin De Bruyne,FRA,passes,OVER,31.0,28.0,3.0,Kevin De Bruyne shows OVER value at 28.0 PASSES. TC projection: 31.0 — edge: 3.00. Strong conviction based on usage rate and defensive matchup.
wc,ENG@FRA,Lionel Messi,FRA,passes,OVER,37.0,34.0,3.0,"Strong +EV opportunity: Lionel Messi is projected for 37.0 PASSES vs a line of 34.0, giving a OVER edge of 3.00. Based on recent form, opponent matchup, and game context."
wc,ENG@FRA,Jamal Musiala,ENG,passes,OVER,27.0,25.0,2.0,"Moderate +EV opportunity: Jamal Musiala is projected for 27.0 PASSES vs a line of 25.0, giving a OVER edge of 2.00. Based on recent form, opponent matchup, and game context."
wc,ENG@FRA,Kylian Mbappe,ENG,passes,OVER,26.0,24.0,2.0,Kylian Mbappe shows OVER value at 24.0 PASSES. TC projection: 26.0 — edge: 2.00. Moderate conviction based on usage rate and defensive matchup.
wc,ENG@FRA,Kevin De Bruyne,FRA,tackles,OVER,1.56,1.39,0.17000000000000015,Kevin De Bruyne shows OVER value at 1.4 TACKLES. TC projection: 1.6 — edge: 0.17. Marginal conviction based on usage rate and defensive matchup.
wc,ENG@FRA,Cristiano Ronaldo,ENG,shots,OVER,1.52,1.36,0.15999999999999992,Cristiano Ronaldo shows OVER value at 1.4 SHOTS. TC projection: 1.5 — edge: 0.16. Marginal conviction based on usage rate and defensive matchup.
wc,ENG@FRA,Vinicius Jr,FRA,tackles,OVER,1.9,1.76,0.1399999999999999,Targeting Vinicius Jr OVER 1.8 TACKLES. Model projects 1.9 (0.14 edge). Recent trends and opponent weakness support this play.
wc,ENG@FRA,Vinicius Jr,FRA,shots,OVER,1.29,1.16,0.13000000000000012,Targeting Vinicius Jr OVER 1.2 SHOTS. Model projects 1.3 (0.13 edge). Recent trends and opponent weakness support this play.
wc,ENG@FRA,Harry Kane,FRA,tackles,OVER,1.83,1.71,0.1200000000000001,Harry Kane shows OVER value at 1.7 TACKLES. TC projection: 1.8 — edge: 0.12. Marginal conviction based on usage rate and defensive matchup.
wc,ENG@FRA,Kylian Mbappe,ENG,shots,OVER,1.49,1.38,0.1100000000000001,Targeting Kylian Mbappe OVER 1.4 SHOTS. Model projects 1.5 (0.11 edge). Recent trends and opponent weakness support this play.
wc,ENG@FRA,Harry Kane,FRA,shots,OVER,2.07,1.96,0.10999999999999988,Harry Kane shows OVER value at 2.0 SHOTS. TC projection: 2.1 — edge: 0.11. Marginal conviction based on usage rate and defensive matchup.
wc,ENG@FRA,Lionel Messi,FRA,goals,OVER,0.29,0.26,0.02999999999999997,"Marginal +EV opportunity: Lionel Messi is projected for 0.3 GOALS vs a line of 0.3, giving a OVER edge of 0.03. Based on recent form, opponent matchup, and game context."
