date,league,matchup,game_time,team,player,role,status,stat,period,market_type,market_family,line_source,catalog_supported,line_status,alert_eligible,truth_note,direction,market_line,tc_projection,tc_target,edge,threshold,signal,why,raw_average,source,actual,result,adjusted_projection,game_context_note,confidence_score,action_status,true_edge
2026-07-17,WC,?,2026-07-17,ENG,Jamal Musiala,FIELD,ACTIVE,SHOTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.269,1.41,1.41,0.0778,0.5,PROJECTION ONLY,Jamal Musiala projected 1.4 SHOTS (full game) vs. line of 1.3 — 8% edge to the OVER,0.08,SELF_EDGE,,PENDING,1.41,No context available,80,GO,0.11111111111111113
2026-07-17,WC,?,2026-07-17,ENG,Jamal Musiala,FIELD,ACTIVE,SHOTS_ON_TARGET,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.873,0.97,0.97,0.0778,0.5,PROJECTION ONLY,Jamal Musiala projected 1.0 SHOTS ON TARGET (full game) vs. line of 0.9 — 8% edge to the OVER,0.06,SELF_EDGE,,PENDING,0.97,No context available,80,GO,0.11111111111111108
2026-07-17,WC,?,2026-07-17,ENG,Jamal Musiala,FIELD,ACTIVE,PASSES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,23.4,26.0,26.0,0.0778,0.5,PROJECTION ONLY,Jamal Musiala projected 26.0 PASSES (full game) vs. line of 23.4 — 8% edge to the OVER,1.56,SELF_EDGE,,PENDING,26.0,No context available,80,GO,0.11111111111111117
2026-07-17,WC,?,2026-07-17,ENG,Jamal Musiala,FIELD,ACTIVE,TACKLES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.629,1.81,1.81,0.0778,0.5,PROJECTION ONLY,Jamal Musiala projected 1.8 TACKLES (full game) vs. line of 1.6 — 8% edge to the OVER,0.11,SELF_EDGE,,PENDING,1.81,No context available,80,GO,0.11111111111111115
2026-07-17,WC,?,2026-07-17,ENG,Jamal Musiala,FIELD,ACTIVE,YELLOW_CARDS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.153,0.17,0.17,0.0778,0.5,PROJECTION ONLY,Jamal Musiala projected 0.2 YELLOW CARDS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.17,No context available,80,GO,0.11111111111111122
2026-07-17,WC,?,2026-07-17,ENG,Kylian Mbappe,FIELD,ACTIVE,GOALS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.225,0.25,0.25,0.0778,0.5,PROJECTION ONLY,Kylian Mbappe projected 0.2 GOALS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.25,No context available,80,GO,0.11111111111111108
2026-07-17,WC,?,2026-07-17,ENG,Kylian Mbappe,FIELD,ACTIVE,SHOTS_ON_TARGET,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.558,0.62,0.62,0.0778,0.5,PROJECTION ONLY,Kylian Mbappe projected 0.6 SHOTS ON TARGET (full game) vs. line of 0.6 — 8% edge to the OVER,0.04,SELF_EDGE,,PENDING,0.62,No context available,80,GO,0.111111111111111
2026-07-17,WC,?,2026-07-17,ENG,Kylian Mbappe,FIELD,ACTIVE,PASSES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,24.3,27.0,27.0,0.0778,0.5,PROJECTION ONLY,Kylian Mbappe projected 27.0 PASSES (full game) vs. line of 24.3 — 8% edge to the OVER,1.62,SELF_EDGE,,PENDING,27.0,No context available,80,GO,0.11111111111111108
2026-07-17,WC,?,2026-07-17,ENG,Kylian Mbappe,FIELD,ACTIVE,TACKLES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.377,1.53,1.53,0.0778,0.5,PROJECTION ONLY,Kylian Mbappe projected 1.5 TACKLES (full game) vs. line of 1.4 — 8% edge to the OVER,0.09,SELF_EDGE,,PENDING,1.53,No context available,80,GO,0.11111111111111113
2026-07-17,WC,?,2026-07-17,ENG,Kylian Mbappe,FIELD,ACTIVE,YELLOW_CARDS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.108,0.12,0.12,0.0778,0.5,PROJECTION ONLY,Kylian Mbappe projected 0.1 YELLOW CARDS (full game) vs. line of 0.1 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.12,No context available,80,GO,0.11111111111111108
2026-07-17,WC,?,2026-07-17,ENG,Cristiano Ronaldo,FIELD,ACTIVE,GOALS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.207,0.23,0.23,0.0778,0.5,PROJECTION ONLY,Cristiano Ronaldo projected 0.2 GOALS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.23,No context available,80,GO,0.11111111111111122
2026-07-17,WC,?,2026-07-17,ENG,Cristiano Ronaldo,FIELD,ACTIVE,ASSISTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.135,0.15,0.15,0.0778,0.5,PROJECTION ONLY,Cristiano Ronaldo projected 0.1 ASSISTS (full game) vs. line of 0.1 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.15,No context available,80,GO,0.111111111111111
2026-07-17,WC,?,2026-07-17,ENG,Cristiano Ronaldo,FIELD,ACTIVE,SHOTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.935,2.15,2.15,0.0778,0.5,PROJECTION ONLY,Cristiano Ronaldo projected 2.1 SHOTS (full game) vs. line of 1.9 — 8% edge to the OVER,0.13,SELF_EDGE,,PENDING,2.15,No context available,80,GO,0.11111111111111104
2026-07-17,WC,?,2026-07-17,ENG,Cristiano Ronaldo,FIELD,ACTIVE,SHOTS_ON_TARGET,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.855,0.95,0.95,0.0778,0.5,PROJECTION ONLY,Cristiano Ronaldo projected 0.9 SHOTS ON TARGET (full game) vs. line of 0.9 — 8% edge to the OVER,0.06,SELF_EDGE,,PENDING,0.95,No context available,80,GO,0.11111111111111108
2026-07-17,WC,?,2026-07-17,ENG,Cristiano Ronaldo,FIELD,ACTIVE,PASSES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,33.300000000000004,37.0,37.0,0.0778,0.5,PROJECTION ONLY,Cristiano Ronaldo projected 37.0 PASSES (full game) vs. line of 33.3 — 8% edge to the OVER,2.22,SELF_EDGE,,PENDING,37.0,No context available,80,GO,0.11111111111111097
2026-07-17,WC,?,2026-07-17,ENG,Cristiano Ronaldo,FIELD,ACTIVE,TACKLES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.323,1.47,1.47,0.0778,0.5,PROJECTION ONLY,Cristiano Ronaldo projected 1.5 TACKLES (full game) vs. line of 1.3 — 8% edge to the OVER,0.09,SELF_EDGE,,PENDING,1.47,No context available,80,GO,0.11111111111111113
2026-07-17,WC,?,2026-07-17,ENG,Cristiano Ronaldo,FIELD,ACTIVE,YELLOW_CARDS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.117,0.13,0.13,0.0778,0.5,PROJECTION ONLY,Cristiano Ronaldo projected 0.1 YELLOW CARDS (full game) vs. line of 0.1 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.13,No context available,80,GO,0.11111111111111109
2026-07-17,WC,?,2026-07-17,ENG,Pedri,FIELD,ACTIVE,GOALS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.162,0.18,0.18,0.0778,0.5,PROJECTION ONLY,Pedri projected 0.2 GOALS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.18,No context available,80,GO,0.11111111111111104
2026-07-17,WC,?,2026-07-17,ENG,Pedri,FIELD,ACTIVE,ASSISTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.18,0.2,0.2,0.0778,0.5,PROJECTION ONLY,Pedri projected 0.2 ASSISTS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.2,No context available,80,GO,0.11111111111111122
2026-07-17,WC,?,2026-07-17,ENG,Pedri,FIELD,ACTIVE,SHOTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.332,1.48,1.48,0.0778,0.5,PROJECTION ONLY,Pedri projected 1.5 SHOTS (full game) vs. line of 1.3 — 8% edge to the OVER,0.09,SELF_EDGE,,PENDING,1.48,No context available,80,GO,0.11111111111111104
2026-07-17,WC,?,2026-07-17,ENG,Pedri,FIELD,ACTIVE,SHOTS_ON_TARGET,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.738,0.82,0.82,0.0778,0.5,PROJECTION ONLY,Pedri projected 0.8 SHOTS ON TARGET (full game) vs. line of 0.7 — 8% edge to the OVER,0.05,SELF_EDGE,,PENDING,0.82,No context available,80,GO,0.11111111111111106
2026-07-17,WC,?,2026-07-17,ENG,Pedri,FIELD,ACTIVE,PASSES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,33.300000000000004,37.0,37.0,0.0778,0.5,PROJECTION ONLY,Pedri projected 37.0 PASSES (full game) vs. line of 33.3 — 8% edge to the OVER,2.22,SELF_EDGE,,PENDING,37.0,No context available,80,GO,0.11111111111111097
2026-07-17,WC,?,2026-07-17,ENG,Pedri,FIELD,ACTIVE,TACKLES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.4400000000000002,1.6,1.6,0.0778,0.5,PROJECTION ONLY,Pedri projected 1.6 TACKLES (full game) vs. line of 1.4 — 8% edge to the OVER,0.1,SELF_EDGE,,PENDING,1.6,No context available,80,GO,0.11111111111111105
2026-07-17,WC,?,2026-07-17,ENG,Pedri,FIELD,ACTIVE,YELLOW_CARDS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.126,0.14,0.14,0.0778,0.5,PROJECTION ONLY,Pedri projected 0.1 YELLOW CARDS (full game) vs. line of 0.1 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.14,No context available,80,GO,0.1111111111111112
2026-07-17,WC,?,2026-07-17,FRA,Harry Kane,FIELD,ACTIVE,GOALS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.27,0.3,0.3,0.0778,0.5,PROJECTION ONLY,Harry Kane projected 0.3 GOALS (full game) vs. line of 0.3 — 8% edge to the OVER,0.02,SELF_EDGE,,PENDING,0.3,No context available,80,GO,0.111111111111111
2026-07-17,WC,?,2026-07-17,FRA,Harry Kane,FIELD,ACTIVE,ASSISTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.189,0.21,0.21,0.0778,0.5,PROJECTION ONLY,Harry Kane projected 0.2 ASSISTS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.21,No context available,80,GO,0.11111111111111106
2026-07-17,WC,?,2026-07-17,FRA,Harry Kane,FIELD,ACTIVE,SHOTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.242,1.38,1.38,0.0778,0.5,PROJECTION ONLY,Harry Kane projected 1.4 SHOTS (full game) vs. line of 1.2 — 8% edge to the OVER,0.08,SELF_EDGE,,PENDING,1.38,No context available,80,GO,0.11111111111111104
2026-07-17,WC,?,2026-07-17,FRA,Harry Kane,FIELD,ACTIVE,TACKLES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.341,1.49,1.49,0.0778,0.5,PROJECTION ONLY,Harry Kane projected 1.5 TACKLES (full game) vs. line of 1.3 — 8% edge to the OVER,0.09,SELF_EDGE,,PENDING,1.49,No context available,80,GO,0.11111111111111113
2026-07-17,WC,?,2026-07-17,FRA,Harry Kane,FIELD,ACTIVE,YELLOW_CARDS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.153,0.17,0.17,0.0778,0.5,PROJECTION ONLY,Harry Kane projected 0.2 YELLOW CARDS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.17,No context available,80,GO,0.11111111111111122
2026-07-17,WC,?,2026-07-17,FRA,Vinicius Jr,FIELD,ACTIVE,GOALS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.288,0.32,0.32,0.0778,0.5,PROJECTION ONLY,Vinicius Jr projected 0.3 GOALS (full game) vs. line of 0.3 — 8% edge to the OVER,0.02,SELF_EDGE,,PENDING,0.32,No context available,80,GO,0.11111111111111122
2026-07-17,WC,?,2026-07-17,FRA,Vinicius Jr,FIELD,ACTIVE,ASSISTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.18,0.2,0.2,0.0778,0.5,PROJECTION ONLY,Vinicius Jr projected 0.2 ASSISTS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.2,No context available,80,GO,0.11111111111111122
2026-07-17,WC,?,2026-07-17,FRA,Vinicius Jr,FIELD,ACTIVE,SHOTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.548,1.72,1.72,0.0778,0.5,PROJECTION ONLY,Vinicius Jr projected 1.7 SHOTS (full game) vs. line of 1.5 — 8% edge to the OVER,0.1,SELF_EDGE,,PENDING,1.72,No context available,80,GO,0.11111111111111106
2026-07-17,WC,?,2026-07-17,FRA,Vinicius Jr,FIELD,ACTIVE,SHOTS_ON_TARGET,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.927,1.03,1.03,0.0778,0.5,PROJECTION ONLY,Vinicius Jr projected 1.0 SHOTS ON TARGET (full game) vs. line of 0.9 — 8% edge to the OVER,0.06,SELF_EDGE,,PENDING,1.03,No context available,80,GO,0.11111111111111109
2026-07-17,WC,?,2026-07-17,FRA,Vinicius Jr,FIELD,ACTIVE,PASSES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,31.5,35.0,35.0,0.0778,0.5,PROJECTION ONLY,Vinicius Jr projected 35.0 PASSES (full game) vs. line of 31.5 — 8% edge to the OVER,2.1,SELF_EDGE,,PENDING,35.0,No context available,80,GO,0.1111111111111111
2026-07-17,WC,?,2026-07-17,FRA,Vinicius Jr,FIELD,ACTIVE,TACKLES,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.35,1.5,1.5,0.0778,0.5,PROJECTION ONLY,Vinicius Jr projected 1.5 TACKLES (full game) vs. line of 1.4 — 8% edge to the OVER,0.09,SELF_EDGE,,PENDING,1.5,No context available,80,GO,0.11111111111111104
2026-07-17,WC,?,2026-07-17,FRA,Vinicius Jr,FIELD,ACTIVE,YELLOW_CARDS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.1,0.11,0.11,0.07,0.5,PROJECTION ONLY,Vinicius Jr projected 0.1 YELLOW CARDS (full game) vs. line of 0.1 — 7% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.11,No context available,80,GO,0.09999999999999995
2026-07-17,WC,?,2026-07-17,FRA,Kevin De Bruyne,FIELD,ACTIVE,GOALS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.198,0.22,0.22,0.0778,0.5,PROJECTION ONLY,Kevin De Bruyne projected 0.2 GOALS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.22,No context available,80,GO,0.11111111111111106
2026-07-17,WC,?,2026-07-17,FRA,Kevin De Bruyne,FIELD,ACTIVE,ASSISTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.189,0.21,0.21,0.0778,0.5,PROJECTION ONLY,Kevin De Bruyne projected 0.2 ASSISTS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.21,No context available,80,GO,0.11111111111111106
2026-07-17,WC,?,2026-07-17,FRA,Kevin De Bruyne,FIELD,ACTIVE,SHOTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.791,1.99,1.99,0.0778,0.5,PROJECTION ONLY,Kevin De Bruyne projected 2.0 SHOTS (full game) vs. line of 1.8 — 8% edge to the OVER,0.12,SELF_EDGE,,PENDING,1.99,No context available,80,GO,0.11111111111111115
2026-07-17,WC,?,2026-07-17,FRA,Kevin De Bruyne,FIELD,ACTIVE,SHOTS_ON_TARGET,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.8370000000000001,0.93,0.93,0.0778,0.5,PROJECTION ONLY,Kevin De Bruyne projected 0.9 SHOTS ON TARGET (full game) vs. line of 0.8 — 8% edge to the OVER,0.06,SELF_EDGE,,PENDING,0.93,No context available,80,GO,0.11111111111111106
