player,league,matchup,stat,direction,tc_projection,market_line,edge,true_probability,confidence,alert_level,why,generated
Raquel Carrera,WNBA,NY@DAL,REB,OVER,5.5,5.15515,0.0692,0.5519,55.2,MODERATE,Raquel Carrera projected 5.5 rebounds (full game) vs. line of 5.2 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Aubrey Griffin,WNBA,NY@DAL,PTS,OVER,6.2,5.924100000000001,0.0692,0.5519,55.2,MODERATE,Aubrey Griffin projected 6.2 points (full game) vs. line of 5.9 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Alex Fowler,WNBA,NY@DAL,PTS,OVER,9.7,9.268350000000002,0.0692,0.5519,55.2,MODERATE,Alex Fowler projected 9.7 points (full game) vs. line of 9.3 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Rebecca Allen,WNBA,NY@DAL,PTS,OVER,4.1,3.91755,0.0692,0.5519,55.2,MODERATE,Rebecca Allen projected 4.1 points (full game) vs. line of 3.9 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Paige Bueckers,WNBA,NY@DAL,PTS,OVER,15.5,14.810250000000002,0.0692,0.5519,55.2,MODERATE,Paige Bueckers projected 15.5 points (full game) vs. line of 14.8 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Paige Bueckers,WNBA,NY@DAL,AST,OVER,4.7,4.40531,0.0692,0.5519,55.2,MODERATE,Paige Bueckers projected 4.7 assists (full game) vs. line of 4.4 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Jessica Shepard,WNBA,NY@DAL,PTS,OVER,11.4,10.892700000000001,0.0692,0.5519,55.2,MODERATE,Jessica Shepard projected 11.4 points (full game) vs. line of 10.9 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Jessica Shepard,WNBA,NY@DAL,REB,OVER,8.8,8.248240000000003,0.0692,0.5519,55.2,MODERATE,Jessica Shepard projected 8.8 rebounds (full game) vs. line of 8.2 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Jessica Shepard,WNBA,NY@DAL,AST,OVER,4.0,3.7492,0.0692,0.5519,55.2,MODERATE,Jessica Shepard projected 4.0 assists (full game) vs. line of 3.7 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Azzi Fudd,WNBA,NY@DAL,PTS,OVER,10.8,10.319400000000002,0.0692,0.5519,55.2,MODERATE,Azzi Fudd projected 10.8 points (full game) vs. line of 10.3 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Arike Ogunbowale,WNBA,NY@DAL,PTS,OVER,11.5,10.98825,0.0692,0.5519,55.2,MODERATE,Arike Ogunbowale projected 11.5 points (full game) vs. line of 11.0 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Aziaha James,WNBA,NY@DAL,PTS,OVER,13.0,12.4215,0.0692,0.5519,55.2,MODERATE,Aziaha James projected 13.0 points (full game) vs. line of 12.4 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Aziaha James,WNBA,NY@DAL,REB,OVER,5.1,4.78023,0.0692,0.5519,55.2,MODERATE,Aziaha James projected 5.1 rebounds (full game) vs. line of 4.8 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Maddy Siegrist,WNBA,NY@DAL,PTS,OVER,10.7,10.22385,0.0692,0.5519,55.2,MODERATE,Maddy Siegrist projected 10.7 points (full game) vs. line of 10.2 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Maddy Siegrist,WNBA,NY@DAL,REB,OVER,4.8,4.49904,0.0692,0.5519,55.2,MODERATE,Maddy Siegrist projected 4.8 rebounds (full game) vs. line of 4.5 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Awak Kuier,WNBA,NY@DAL,PTS,OVER,8.2,7.8351,0.0692,0.5519,55.2,MODERATE,Awak Kuier projected 8.2 points (full game) vs. line of 7.8 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Awak Kuier,WNBA,NY@DAL,REB,OVER,4.8,4.49904,0.0692,0.5519,55.2,MODERATE,Awak Kuier projected 4.8 rebounds (full game) vs. line of 4.5 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Alanna Smith,WNBA,NY@DAL,PTS,OVER,6.7,6.4018500000000005,0.0692,0.5519,55.2,MODERATE,Alanna Smith projected 6.7 points (full game) vs. line of 6.4 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Alanna Smith,WNBA,NY@DAL,REB,OVER,5.0,4.6865000000000006,0.0692,0.5519,55.2,MODERATE,Alanna Smith projected 5.0 rebounds (full game) vs. line of 4.7 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Sug Sutton,WNBA,NY@DAL,PTS,OVER,9.8,9.363900000000001,0.0692,0.5519,55.2,MODERATE,Sug Sutton projected 9.8 points (full game) vs. line of 9.4 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Sug Sutton,WNBA,NY@DAL,AST,OVER,4.7,4.40531,0.0692,0.5519,55.2,MODERATE,Sug Sutton projected 4.7 assists (full game) vs. line of 4.4 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Odyssey Sims,WNBA,NY@DAL,PTS,OVER,9.4,8.981700000000002,0.0692,0.5519,55.2,MODERATE,Odyssey Sims projected 9.4 points (full game) vs. line of 9.0 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Costanza Verona,WNBA,NY@DAL,PTS,OVER,16.7,15.956850000000001,0.0692,0.5519,55.2,MODERATE,Costanza Verona projected 16.7 points (full game) vs. line of 16.0 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Costanza Verona,WNBA,NY@DAL,AST,OVER,8.3,7.779590000000002,0.0692,0.5519,55.2,MODERATE,Costanza Verona projected 8.3 assists (full game) vs. line of 7.8 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Haley Jones,WNBA,NY@DAL,PTS,OVER,11.4,10.892700000000001,0.0692,0.5519,55.2,MODERATE,Haley Jones projected 11.4 points (full game) vs. line of 10.9 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Haley Jones,WNBA,NY@DAL,REB,OVER,4.8,4.49904,0.0692,0.5519,55.2,MODERATE,Haley Jones projected 4.8 rebounds (full game) vs. line of 4.5 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Li Yueru,WNBA,NY@DAL,PTS,OVER,9.3,8.88615,0.0692,0.5519,55.2,MODERATE,Li Yueru projected 9.3 points (full game) vs. line of 8.9 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Li Yueru,WNBA,NY@DAL,REB,OVER,8.6,8.060780000000001,0.0692,0.5519,55.2,MODERATE,Li Yueru projected 8.6 rebounds (full game) vs. line of 8.1 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
JJ Quinerly,WNBA,NY@DAL,PTS,OVER,4.2,4.0131000000000006,0.0692,0.5519,55.2,MODERATE,JJ Quinerly projected 4.2 points (full game) vs. line of 4.0 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
JJ Quinerly,WNBA,NY@DAL,AST,OVER,4.2,3.9366600000000007,0.0692,0.5519,55.2,MODERATE,JJ Quinerly projected 4.2 assists (full game) vs. line of 3.9 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Alysha Clark,WNBA,NY@DAL,PTS,OVER,6.2,5.924100000000001,0.0692,0.5519,55.2,MODERATE,Alysha Clark projected 6.2 points (full game) vs. line of 5.9 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Carla Leite,WNBA,POR@WSH,PTS,OVER,14.9,14.236950000000002,0.0692,0.5519,55.2,MODERATE,Carla Leite projected 14.9 points (full game) vs. line of 14.2 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Carla Leite,WNBA,POR@WSH,AST,OVER,5.7,5.3426100000000005,0.0692,0.5519,55.2,MODERATE,Carla Leite projected 5.7 assists (full game) vs. line of 5.3 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
